date,symbol,action,weight
2024-01-31,1538,rebalance,0.05
2024-01-31,1423,rebalance,0.05
2024-01-31,1436,rebalance,0.05
2024-01-31,1616,rebalance,0.05
2024-01-31,1618,rebalance,0.05
2024-01-31,1437,rebalance,0.05
2024-01-31,1416,rebalance,0.05
2024-01-31,1418,rebalance,0.05
2024-01-31,1213,rebalance,0.05
2024-01-31,1419,rebalance,0.05
2024-01-31,1203,rebalance,0.05
2024-01-31,1439,rebalance,0.05
2024-01-31,1608,rebalance,0.05
2024-01-31,1104,rebalance,0.05
2024-01-31,1615,rebalance,0.05
2024-01-31,1472,rebalance,0.05
2024-01-31,1612,rebalance,0.05
2024-01-31,1583,rebalance,0.05
2024-01-31,1307,rebalance,0.05
2024-01-31,6462,rebalance,0.05
2024-02-29,1538,rebalance,0.05
2024-02-29,1423,rebalance,0.05
2024-02-29,1418,rebalance,0.05
2024-02-29,1213,rebalance,0.05
2024-02-29,1608,rebalance,0.05
2024-02-29,1618,rebalance,0.05
2024-02-29,1615,rebalance,0.05
2024-02-29,1436,rebalance,0.05
2024-02-29,1437,rebalance,0.05
2024-02-29,1463,rebalance,0.05
2024-02-29,1416,rebalance,0.05
2024-02-29,1439,rebalance,0.05
2024-02-29,1583,rebalance,0.05
2024-02-29,1104,rebalance,0.05
2024-02-29,1419,rebalance,0.05
2024-02-29,1616,rebalance,0.05
2024-02-29,1612,rebalance,0.05
2024-02-29,1472,rebalance,0.05
2024-02-29,1456,rebalance,0.05
2024-02-29,1441,rebalance,0.05
2024-04-30,2330,rebalance,0.16666666666666666
2024-04-30,2317,rebalance,0.16666666666666666
2024-04-30,3008,rebalance,0.16666666666666666
2024-04-30,2308,rebalance,0.16666666666666666
2024-04-30,2454,rebalance,0.16666666666666666
2024-04-30,2412,rebalance,0.16666666666666666
2024-05-31,2317,rebalance,0.16666666666666666
2024-05-31,2330,rebalance,0.16666666666666666
2024-05-31,2454,rebalance,0.16666666666666666
2024-05-31,3008,rebalance,0.16666666666666666
2024-05-31,2308,rebalance,0.16666666666666666
2024-05-31,2412,rebalance,0.16666666666666666
2024-07-31,2317,rebalance,0.16666666666666666
2024-07-31,2308,rebalance,0.16666666666666666
2024-07-31,2330,rebalance,0.16666666666666666
2024-07-31,2454,rebalance,0.16666666666666666
2024-07-31,3008,rebalance,0.16666666666666666
2024-07-31,2412,rebalance,0.16666666666666666
2024-09-30,2330,rebalance,0.16666666666666666
2024-09-30,2317,rebalance,0.16666666666666666
2024-09-30,2412,rebalance,0.16666666666666666
2024-09-30,2308,rebalance,0.16666666666666666
2024-09-30,3008,rebalance,0.16666666666666666
2024-09-30,2454,rebalance,0.16666666666666666
2024-12-31,2308,rebalance,0.16666666666666666
2024-12-31,2330,rebalance,0.16666666666666666
2024-12-31,2454,rebalance,0.16666666666666666
2024-12-31,2412,rebalance,0.16666666666666666
2024-12-31,3008,rebalance,0.16666666666666666
2024-12-31,2317,rebalance,0.16666666666666666
